Code,id,name,lati,long,group
AK,2,Alaska,61.43941813,-152.630008,1
AL,1,Alabama,32.86097861,-86.84384396,2
AR,5,Arkansas,35.11291631,-92.39007624,2
AS,60,America Samoa,-7.209975,-170.7716,2
AZ,4,Arizona,33.53865233,-111.6677843,1
CA,6,California,36.1205476,-119.7324126,1
CO,8,Colorado,39.25275303,-105.289699,1
CT,9,Connecticut,41.5636709,-72.80336999,4
DC,11,District of Columbia,38.89538017,-77.0195287,4
DE,10,Delaware,39.28635592,-75.52787638,2
FL,12,Florida,28.15618437,-82.02818658,2
FM,64,Federated States of Micronesia,7.138297,151.503116,
GA,13,Georgia,33.04695094,-83.69185299,2
GU,66,Guam,13.444257,144.786297,
IA,19,Iowa,42.02491856,-93.34277733,3
ID,16,Idaho,44.52517906,-114.8358177,1
IL,17,Illinois,40.41274271,-88.99003334,3
IN,18,Indiana,39.93486494,-86.28402295,3
KS,20,Kansas,38.51491733,-97.13173903,3
KY,21,Kentucky,37.61367078,-84.81716991,2
LA,22,Louisiana,30.92439544,-91.73058802,2
MA,25,Massachusetts,42.23596436,-71.49296848,4
MD,24,Maryland,39.05301724,-76.77128878,2
ME,23,Maine,44.61745381,-69.44812065,4
MH,68,Marshall Islands,11.140496,166.410291,
MI,26,Michigan,43.44770955,-84.74202972,3
MN,27,Minnesota,45.54754767,-94.12619385,3
MO,29,Missouri,38.38439445,-92.46741397,3
MP,69,Northern Mariana Islands,15.190135,145.740804,
MS,28,Mississippi,32.83615147,-89.70289837,2
MT,30,Montana,46.94911834,-110.2939062,1
NC,37,North Carolina,35.57466849,-79.53319871,2
ND,38,North Dakota,47.50571041,-99.60359304,3
NE,31,Nebraska,41.20092913,-98.19369468,3
NH,33,New Hampshire,43.39063995,-71.57449128,4
NJ,34,New Jersey,40.38798612,-74.51902748,4
NM,35,New Mexico,34.70650224,-106.1379432,1
NV,32,Nevada,38.01695061,-116.7088733,1
NY,36,New York,42.19206463,-75.12140947,4
OH,39,Ohio,40.39028303,-82.73700205,3
OK,40,Oklahoma,35.51342909,-97.00095113,2
OR,41,Oregon,44.51811341,-122.0500191,1
PA,42,Pennsylvania,40.62972734,-77.55934357,4
PR,72,Puerto Rico,18.2909239,-66.3205111,
PW,70,Palau,7.225664,134.362169,
RI,44,Rhode Island,41.69933812,-71.50979798,4
SC,45,South Carolina,33.96988035,-81.05536541,2
SD,46,South Dakota,44.28944503,-99.16185984,3
TN,47,Tennessee,35.80239358,-86.46899603,2
TX,48,Texas,31.2820668,-98.07365845,2
UT,49,Utah,39.90845303,-111.8110086,1
VA,51,Virginia,37.71623604,-78.23540703,2
VT,50,Vermont,44.02948587,-72.65434955,4
WA,53,Washington,47.3233292,-121.112621,1
WI,55,Wisconsin,44.10291893,-89.52417842,3
WV,54,West Virginia,38.4655053,-80.98594952,2
WY,56,Wyoming,42.88163272,-107.2574984,1
FR,57,Foreign,33,-130,
